nombre_semilla,categoria
Aceituna,Fruta
Acelga,Hortaliza de hoja
Alhelí,Ornamental / Flor
Alhelí (gruesa),Ornamental / Flor
Almácigo,Hortaliza (semillero)
Amaranto,Cereal / Grano
Apio,Hortaliza de tallo
Aretillo,Ornamental / Flor
Aretillo ,Ornamental / Flor
Aretillo (planta),Ornamental / Flor
Avena forrajera en verde,Forrajero
Begonia,Ornamental / Flor
Begonia (planta),Ornamental / Flor
Belén,Ornamental / Flor
Belén ,Ornamental / Flor
Belén (planta),Ornamental / Flor
Brócoli,Hortaliza de inflorescencia
Calabacita,Hortaliza de fruto
Calancoe,Ornamental / Planta
Calancoe ,Ornamental / Planta
Calancoe (planta),Ornamental / Planta
Capulín,Fruta
Chícharo,Leguminosa
Chile verde,Hortaliza de fruto
Cineraria,Ornamental / Flor
Cineraria ,Ornamental / Flor
Cineraria (planta),Ornamental / Flor
Ciruela,Fruta
Col (repollo),Hortaliza de hoja
Crisantemo,Ornamental / Flor
Crisantemo (gruesa),Ornamental / Flor
Crisantemo (planta),Ornamental / Flor
Cyclamen,Ornamental / Planta
Cyclamen ,Ornamental / Planta
Cyclamen (planta),Ornamental / Planta
Dalia,Ornamental / Flor
Dalia ,Ornamental / Flor
Dalia (planta),Ornamental / Flor
Durazno,Fruta
Ebo (janamargo o veza),Leguminosa / Forrajero
Elote,Cereal / Grano
Espinaca,Hortaliza de hoja
Frijol,Leguminosa
Frutales varios,Fruta
Geranio,Ornamental / Flor
Geranio (planta),Ornamental / Flor
Haba verde,Leguminosa
Higo,Fruta
Hortalizas,Hortaliza
Lechuga,Hortaliza de hoja
Lilium,Ornamental / Flor
Lilium (azucena),Ornamental / Flor
Lilium (gruesa),Ornamental / Flor
Lilium (planta),Ornamental / Flor
Maíz grano,Cereal / Grano
Manzana,Fruta
Nochebuena,Ornamental / Planta
Nochebuena (planta),Ornamental / Planta
Nopalitos,Cactácea / Hortaliza
Nube,Ornamental / Flor
Nube (manojo),Ornamental / Flor
Pastos y praderas,Forrajero
Pensamiento,Ornamental / Flor
Pensamiento ,Ornamental / Flor
Pensamiento (planta),Ornamental / Flor
Pera,Fruta
Petunia,Ornamental / Flor
Petunia ,Ornamental / Flor
Petunia (planta),Ornamental / Flor
Rábano,Hortaliza de raíz
Remolacha forrajera,Forrajero
Romerito,Hortaliza de hoja
Rosa,Ornamental / Flor
Rosa (planta),Ornamental / Flor
Tejocote,Fruta
Tomate verde,Hortaliza de fruto
Tulipán holandés,Ornamental / Flor
Verdolaga,Hortaliza de hoja
Zanahoria,Hortaliza de raíz
Zempoalxochitl,Ornamental / Flor
Zempoalxochitl (planta),Ornamental / Flor
